51910 0.0932411
51911 0.0925078
51912 0.0916678
51913 0.0907690
51914 0.0898731
51915 0.0890213
51916 0.0882971
51917 0.0877134
51918 0.0872331
51919 0.0868084
51920 0.0863932
51921 0.0858920
51922 0.0852423
51923 0.0844128
51924 0.0834614
51925 0.0825013
51926 0.0816498
51927 0.0809776
51928 0.0804735
51929 0.0801140
51930 0.0799319
51931 0.0799234
51932 0.0800156
51933 0.0800969
51934 0.0801065
51935 0.0800012
51936 0.0797629
51937 0.0793754
51938 0.0788567
51939 0.0782778
51940 0.0777181
51941 0.0771772
51942 0.0767624
51943 0.0764706
51944 0.0763315
51945 0.0763068
51946 0.0762954
51947 0.0761626
51948 0.0758408
51949 0.0751946
51950 0.0743320
51951 0.0733054
51952 0.0721846
51953 0.0710330
51954 0.0699353
51955 0.0689561
51956 0.0681055
51957 0.0673693
51958 0.0667471
51959 0.0661870
51960 0.0656092
51961 0.0649724
51962 0.0642668
51963 0.0634714
51964 0.0625092
51965 0.0613666
51966 0.0600732
51967 0.0586676
51968 0.0572004
51969 0.0557574
51970 0.0544326
51971 0.0532636
51972 0.0522239
51973 0.0512704
51974 0.0503458
51975 0.0493415
51976 0.0481077
51977 0.0466971
51978 0.0451464
51979 0.0435364
51980 0.0419359
51981 0.0404519
51982 0.0392190
51983 0.0383090
51984 0.0375746
51985 0.0369958
51986 0.0365061
51987 0.0360758
51988 0.0356533
51989 0.0351675
51990 0.0345528
51991 0.0338732
51992 0.0330568
51993 0.0321569
51994 0.0311476
51995 0.0300529
51996 0.0289403
51997 0.0279428
51998 0.0270502
51999 0.0262669
52000 0.0255548
52001 0.0248823
52002 0.0241794
52003 0.0233456
52004 0.0222905
52005 0.0210181
52006 0.0196090
52007 0.0181496
52008 0.0167497
52009 0.0155237
52010 0.0145353
52011 0.0138317
52012 0.0133092
52013 0.0129296
52014 0.0126349
52015 0.0123043
52016 0.0118400
52017 0.0111920
52018 0.0104355
52019 0.0095170
52020 0.0085710
52021 0.0075682
52022 0.0065709
52023 0.0056533
52024 0.0048292
52025 0.0040738
52026 0.0034314
52027 0.0028217
52028 0.0022283
52029 0.0015439
52030 0.0006970
52031 -0.0003457
52032 -0.0015949
52033 -0.0030416
52034 -0.0046183
52035 -0.0061659
52036 -0.0075597
52037 -0.0087524
52038 -0.0097376
52039 -0.0105272
52040 -0.0111957
52041 -0.0117519
52042 -0.0123158
52043 -0.0129594
52044 -0.0137144
52045 -0.0145761
52046 -0.0155493
52047 -0.0166067
52048 -0.0177561
52049 -0.0188906
52050 -0.0199555
52051 -0.0209047
52052 -0.0216870
52053 -0.0222382
52054 -0.0226043
52055 -0.0228304
52056 -0.0230067
52057 -0.0232438
52058 -0.0236211
52059 -0.0241445
52060 -0.0247509
52061 -0.0253750
52062 -0.0259663
52063 -0.0264741
52064 -0.0268199
52065 -0.0269240
52066 -0.0267655
52067 -0.0264129
52068 -0.0259359
52069 -0.0254338
52070 -0.0250021
52071 -0.0246985
52072 -0.0245383
52073 -0.0245101
52074 -0.0245771
52075 -0.0247284
52076 -0.0248901
52077 -0.0250752
52078 -0.0252680
52079 -0.0254084
52080 -0.0254337
52081 -0.0253462
52082 -0.0251831
52083 -0.0249835
52084 -0.0248508
52085 -0.0248966
52086 -0.0251626
52087 -0.0256231
52088 -0.0262311
52089 -0.0268169
52090 -0.0273284
52091 -0.0276904
52092 -0.0278374
52093 -0.0277857
52094 -0.0275936
52095 -0.0273161
52096 -0.0270017
52097 -0.0267091
52098 -0.0264843
52099 -0.0263548
52100 -0.0263021
52101 -0.0262967
52102 -0.0263582
52103 -0.0264524
52104 -0.0265648
52105 -0.0266622
52106 -0.0266904
52107 -0.0266080
52108 -0.0263805
52109 -0.0260014
52110 -0.0255269
52111 -0.0249998
52112 -0.0245742
52113 -0.0243730
52114 -0.0244175
52115 -0.0246301
52116 -0.0248749
52117 -0.0250359
52118 -0.0250552
52119 -0.0249023
52120 -0.0245507
52121 -0.0240072
52122 -0.0233138
52123 -0.0225880
52124 -0.0220008
52125 -0.0213492
52126 -0.0209016
52127 -0.0206767
52128 -0.0206127
52129 -0.0206557
52130 -0.0208187
52131 -0.0211207
52132 -0.0214911
52133 -0.0218779
52134 -0.0221917
52135 -0.0223872
52136 -0.0224697
52137 -0.0225040
52138 -0.0225516
52139 -0.0227170
52140 -0.0231297
52141 -0.0238079
52142 -0.0246848
52143 -0.0256370
52144 -0.0265552
52145 -0.0273344
52146 -0.0279011
52147 -0.0282179
52148 -0.0282885
52149 -0.0281852
52150 -0.0279954
52151 -0.0277828
52152 -0.0276224
52153 -0.0275234
52154 -0.0275948
52155 -0.0278582
52156 -0.0282503
52157 -0.0287087
52158 -0.0292104
52159 -0.0297015
52160 -0.0301461
52161 -0.0304556
52162 -0.0305861
52163 -0.0305754
52164 -0.0304967
52165 -0.0304005
52166 -0.0303976
52167 -0.0305760
52168 -0.0310355
52169 -0.0317900
52170 -0.0327242
52171 -0.0336908
52172 -0.0346063
52173 -0.0353156
52174 -0.0358691
52175 -0.0362183
52176 -0.0364086
52177 -0.0365034
52178 -0.0365693
52179 -0.0366656
52180 -0.0368718
52181 -0.0372023
52182 -0.0376663
52183 -0.0382773
52184 -0.0390312
52185 -0.0398781
52186 -0.0407636
52187 -0.0416721
52188 -0.0425358
52189 -0.0432754
52190 -0.0438498
52191 -0.0443242
52192 -0.0448051
52193 -0.0453677
52194 -0.0460604
52195 -0.0469248
52196 -0.0480555
52197 -0.0494736
52198 -0.0510717
52199 -0.0526809
52200 -0.0541481
52201 -0.0553679
52202 -0.0563268
52203 -0.0570472
52204 -0.0576089
52205 -0.0581071
52206 -0.0586046
52207 -0.0591490
52208 -0.0598181
52209 -0.0606349
52210 -0.0616005
52211 -0.0626753
52212 -0.0637961
52213 -0.0649095
52214 -0.0659737
52215 -0.0669056
52216 -0.0676809
52217 -0.0683086
52218 -0.0688457
52219 -0.0693337
52220 -0.0698208
52221 -0.0704018
52222 -0.0712276
52223 -0.0723591
52224 -0.0737261
52225 -0.0752406
52226 -0.0768254
52227 -0.0783595
52228 -0.0796834
52229 -0.0807251
52230 -0.0815369
52231 -0.0821946
52232 -0.0827664
52233 -0.0833125
52234 -0.0838710
52235 -0.0844701
52236 -0.0851570
52237 -0.0859618
52238 -0.0868771
52239 -0.0878575
52240 -0.0888413
52241 -0.0897879
52242 -0.0907009
52243 -0.0914537
52244 -0.0921272
52245 -0.0926125
52246 -0.0929110
52247 -0.0931326
52248 -0.0934129
52249 -0.0938396
52250 -0.0944938
52251 -0.0953348
52252 -0.0963965
52253 -0.0975983
52254 -0.0987903
52255 -0.0998355
52256 -0.1006906
52257 -0.1013899
52258 -0.1018854
52259 -0.1022239
52260 -0.1025296
52261 -0.1028992
52262 -0.1033657
52263 -0.1039541
52264 -0.1047478
52265 -0.1057621
52266 -0.1069063
52267 -0.1080723
52268 -0.1092221
52269 -0.1103626
52270 -0.1114808
52271 -0.1125269
52272 -0.1134590
